,x,y
0,0.3875,0.6533333333333333
1,0.35583333333333333,0.87
2,0.3983333333333333,0.9866666666666667
3,0.47333333333333333,0.9466666666666667
4,0.5933333333333334,0.9344444444444444
5,0.51,0.7111111111111111
6,0.6358333333333334,0.7088888888888889
7,0.735,0.9066666666666666
8,0.7016666666666667,0.8011111111111111
9,0.7308333333333333,0.5055555555555555
10,0.5683333333333334,0.4222222222222222
11,0.5566666666666666,0.2822222222222222
12,0.7191666666666666,0.33444444444444443
13,0.6541666666666667,0.19
14,0.5475,0.04666666666666667
