,x,y
0,0.725,0.9788888888888889
1,0.8616666666666667,0.8055555555555556
2,0.64,0.73
3,0.535,0.7477777777777778
4,0.6766666666666666,0.5222222222222223
5,0.5333333333333333,0.4722222222222222
6,0.565,0.3288888888888889
7,0.6583333333333333,0.2922222222222222
8,0.735,0.4011111111111111
9,0.71,0.07555555555555556
10,0.22166666666666668,0.6577777777777778
11,0.21,0.5688888888888889
12,0.6833333333333333,0.8344444444444444
13,0.6616666666666666,0.55
14,0.6533333333333333,0.3988888888888889
15,0.65,0.0044444444444444444
